date,symbol,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2019-06-25,RELIANCE,1295.849976,1298.0,1254.25,1258.900024,6842363.0,1283.959229,0,0,0,6842363.0,0,0
2019-06-26,RELIANCE,1294.150024,1304.599976,1286.349976,1291.0,5299942.0,1282.274902,0,0,0,5299942.0,0,0
2019-06-27,RELIANCE,1274.150024,1296.900024,1271.0,1293.150024,11385972.0,1262.458374,0,0,0,11385972.0,0,0
2019-06-28,RELIANCE,1253.099976,1282.849976,1248.650024,1277.099976,8659721.0,1241.60144,0,0,0,8659721.0,0,0
2019-07-01,RELIANCE,1268.849976,1272.650024,1246.449951,1258.050049,6162080.0,1257.207031,0,0,0,6162080.0,0,0
2019-07-02,RELIANCE,1278.5,1281.0,1263.300049,1273.949951,4638751.0,1266.768555,0,0,0,4638751.0,0,0
2019-07-03,RELIANCE,1282.550049,1286.5,1275.050049,1282.900024,4026032.0,1270.781372,0,0,0,4026032.0,0,0
2019-07-04,RELIANCE,1284.0,1291.0,1280.0,1281.400024,4275148.0,1272.218018,0,0,0,4275148.0,0,0
2019-07-05,RELIANCE,1263.349976,1290.5,1260.0,1285.099976,4995344.0,1251.757446,0,0,0,4995344.0,0,0
2019-07-08,RELIANCE,1252.050049,1268.099976,1248.199951,1258.0,6404544.0,1240.561279,0,0,0,6404544.0,0,0
2019-07-09,RELIANCE,1280.099976,1283.5,1245.5,1248.949951,8016757.0,1268.35376,0,0,0,8016757.0,0,0
2019-07-10,RELIANCE,1278.849976,1289.349976,1268.699951,1280.050049,5494315.0,1267.115234,0,0,0,5494315.0,0,0
2019-07-11,RELIANCE,1281.550049,1289.800049,1279.300049,1287.0,3935460.0,1269.790527,0,0,0,3935460.0,0,0
2019-07-12,RELIANCE,1280.5,1300.0,1278.050049,1283.0,7174054.0,1268.750122,0,0,0,7174054.0,0,0
2019-07-15,RELIANCE,1276.099976,1289.5,1270.349976,1285.0,4873164.0,1264.390503,0,0,0,4873164.0,0,0
2019-07-16,RELIANCE,1293.0,1294.900024,1277.050049,1279.949951,4604019.0,1281.135498,0,0,0,4604019.0,0,0
2019-07-17,RELIANCE,1281.849976,1297.0,1280.0,1294.300049,4334958.0,1270.087646,0,0,0,4334958.0,0,0
2019-07-18,RELIANCE,1261.849976,1286.400024,1258.0,1282.0,5459896.0,1250.27124,0,0,0,5459896.0,0,0
2019-07-19,RELIANCE,1249.0,1272.949951,1242.699951,1268.199951,7468515.0,1237.539185,0,0,0,7468515.0,0,0
2019-07-22,RELIANCE,1280.5,1284.5,1227.300049,1251.0,13300153.0,1268.750122,0,0,0,13300153.0,0,0
2019-07-23,RELIANCE,1273.550049,1293.900024,1260.400024,1285.0,9287951.0,1261.864014,0,0,0,9287951.0,0,0
2019-07-24,RELIANCE,1259.099976,1278.800049,1253.550049,1273.5,6943982.0,1247.546387,0,0,0,6943982.0,0,0
